iter	Passed	Remaining
0	5	5568
1	16	8449
2	22	7427
3	27	6936
4	31	6339
5	36	5964
6	42	5997
7	50	6273
8	57	6320
9	63	6242
10	67	6111
11	75	6220
12	133	10099
13	142	10032
14	147	9692
15	154	9486
16	159	9212
17	164	8998
18	186	9634
19	193	9465
20	222	10382
21	227	10125
22	233	9916
23	239	9734
24	244	9538
25	251	9414
26	257	9277
27	262	9125
28	273	9167
29	281	9116
30	288	9021
31	295	8950
32	304	8912
33	309	8790
34	316	8737
35	322	8633
36	328	8561
37	336	8507
38	340	8398
39	347	8343
40	353	8264
41	357	8150
42	362	8061
43	366	7970
44	370	7868
45	374	7768
46	379	7702
47	384	7616
48	388	7534
49	392	7450
50	397	7389
51	401	7310
52	404	7233
53	408	7159
54	414	7116
55	417	7045
56	422	6996
57	428	6951
58	431	6886
59	436	6833
60	440	6775
61	445	6733
62	449	6678
63	453	6625
64	457	6576
65	461	6537
66	466	6490
67	469	6440
68	473	6395
69	479	6373
70	483	6328
71	488	6293
72	493	6263
73	498	6232
74	503	6205
75	509	6197
76	516	6191
77	520	6156
78	525	6130
79	530	6095
80	533	6058
81	538	6023
82	543	6008
83	547	5975
84	551	5938
85	555	5906
86	561	5893
87	565	5862
88	569	5829
89	574	5810
90	579	5784
91	582	5752
92	587	5725
93	591	5705
94	595	5674
95	599	5647
96	603	5620
97	609	5613
98	615	5598
99	621	5593
100	627	5586
101	632	5570
102	639	5570
103	644	5554
104	649	5538
105	654	5517
106	659	5502
107	663	5476
108	666	5451
109	672	5437
110	676	5414
111	679	5391
112	683	5368
113	688	5353
114	692	5332
115	696	5309
116	700	5287
117	705	5276
118	709	5253
119	713	5232
120	717	5212
121	722	5202
122	727	5186
123	731	5165
124	735	5147
125	740	5135
126	744	5117
127	748	5097
128	752	5078
129	756	5063
130	760	5044
131	764	5025
132	768	5010
133	773	5001
134	777	4983
135	781	4966
136	786	4957
137	790	4940
138	794	4922
139	798	4907
140	804	4898
141	808	4884
142	812	4868
143	816	4851
144	822	4848
145	826	4832
146	829	4816
147	834	4805
148	839	4794
149	843	4778
150	846	4762
151	851	4752
152	855	4736
153	859	4721
154	863	4707
155	868	4697
156	872	4682
157	875	4667
158	881	4661
159	887	4660
160	891	4645
161	895	4630
162	902	4634
163	906	4622
164	910	4608
165	914	4595
166	920	4589
167	924	4578
168	928	4566
169	933	4559
170	939	4554
171	944	4548
172	950	4542
173	955	4534
174	961	4532
175	970	4541
176	977	4544
177	984	4548
178	990	4541
179	994	4529
180	999	4523
181	1004	4515
182	1008	4502
183	1013	4495
184	1019	4490
185	1023	4478
186	1027	4468
187	1034	4467
188	1039	4460
189	1044	4453
190	1050	4451
191	1054	4438
192	1058	4426
193	1063	4419
194	1069	4415
195	1075	4412
196	1082	4412
197	1088	4408
198	1092	4397
199	1097	4391
200	1101	4379
201	1105	4368
202	1109	4356
203	1115	4352
204	1119	4339
205	1123	4329
206	1128	4323
207	1139	4338
208	1147	4342
209	1151	4330
210	1155	4319
211	1207	4487
212	1215	4491
213	1220	4482
214	1233	4502
215	1258	4567
216	1284	4635
217	1304	4678
218	1329	4741
219	1337	4742
220	1350	4760
221	1357	4756
222	1366	4760
223	1390	4815
224	1397	4812
225	1402	4804
226	1415	4819
227	1420	4808
228	1427	4805
229	1434	4803
230	1443	4806
231	1450	4800
232	1457	4797
233	1463	4792
234	1470	4785
235	1476	4778
236	1480	4767
237	1485	4755
238	1489	4742
239	1494	4733
240	1498	4720
241	1503	4710
242	1509	4700
243	1513	4688
244	1517	4677
245	1522	4665
246	1527	4656
247	1531	4643
248	1535	4630
249	1540	4620
250	1544	4609
251	1548	4597
252	1553	4586
253	1558	4576
254	1562	4566
255	1566	4553
256	1571	4542
257	1576	4533
258	1580	4522
259	1584	4510
260	1590	4502
261	1594	4490
262	1598	4479
263	1602	4467
264	1607	4458
265	1611	4447
266	1615	4435
267	1620	4425
268	1625	4416
269	1629	4405
270	1633	4394
271	1638	4385
272	1643	4376
273	1647	4364
274	1651	4354
275	1656	4346
276	1660	4334
277	1665	4325
278	1671	4319
279	1677	4314
280	1684	4309
281	1691	4306
282	1696	4299
283	1700	4288
284	1706	4280
285	1710	4271
286	1714	4260
287	1719	4250
288	1724	4242
289	1728	4232
290	1733	4222
291	1739	4216
292	1744	4209
293	1749	4200
294	1754	4191
295	1758	4181
296	1762	4171
297	1765	4160
298	1770	4151
299	1774	4141
300	1778	4131
301	1782	4120
302	1787	4112
303	1791	4101
304	1795	4091
305	1799	4081
306	1805	4074
307	1809	4064
308	1813	4054
309	1818	4046
310	1821	4036
311	1825	4026
312	1829	4016
313	1835	4008
314	1839	3999
315	1843	3990
316	1847	3981
317	1852	3974
318	1856	3964
319	1860	3954
320	1864	3944
321	1869	3937
322	1873	3927
323	1877	3917
324	1883	3910
325	1887	3901
326	1891	3892
