iter	Passed	Remaining
0	6	6351
1	10	5156
2	14	4687
3	19	4780
4	23	4584
5	27	4489
6	30	4394
7	35	4454
8	40	4418
9	44	4358
10	47	4297
11	52	4310
12	56	4294
13	61	4301
14	66	4344
15	71	4376
16	76	4448
17	82	4521
18	88	4567
19	93	4586
20	104	4852
21	130	5784
22	138	5903
23	145	5925
24	152	5938
25	159	5978
26	168	6083
27	183	6379
28	208	6995
29	214	6933
30	218	6843
31	225	6832
32	232	6808
33	238	6766
34	249	6884
35	255	6832
36	266	6938
37	271	6876
38	276	6820
39	283	6798
40	289	6767
41	294	6724
42	333	7419
43	339	7368
44	344	7311
45	349	7257
46	354	7188
47	359	7127
48	363	7058
49	367	6981
50	371	6909
51	375	6838
52	379	6785
53	383	6719
54	387	6656
55	391	6595
56	396	6557
57	400	6501
58	404	6448
59	409	6410
60	413	6358
61	417	6310
62	421	6266
63	425	6229
64	430	6189
65	434	6142
66	439	6119
67	445	6107
68	449	6062
69	453	6020
70	458	5997
71	462	5959
72	466	5920
73	470	5883
74	475	5859
75	479	5824
76	483	5791
77	487	5759
78	492	5740
79	496	5711
80	500	5680
81	504	5648
82	509	5629
83	513	5597
84	517	5571
85	521	5540
86	526	5521
87	530	5496
88	534	5470
89	539	5455
90	543	5431
91	548	5410
92	552	5386
93	557	5371
94	561	5347
95	565	5322
96	569	5305
97	575	5297
98	581	5288
99	588	5296
100	595	5297
101	600	5291
102	605	5277
103	610	5256
104	613	5232
105	618	5212
106	623	5201
107	627	5184
108	631	5165
109	635	5143
110	642	5145
111	648	5143
112	655	5144
113	661	5143
114	668	5146
115	674	5143
116	679	5124
117	683	5105
118	688	5097
119	692	5081
120	697	5064
121	702	5053
122	706	5037
123	710	5019
124	714	5004
125	719	4993
126	724	4982
127	731	4981
128	737	4977
129	741	4960
130	745	4947
131	751	4938
132	757	4938
133	764	4942
134	771	4944
135	777	4937
136	783	4937
137	789	4932
138	813	5039
139	823	5060
140	831	5065
141	839	5070
142	843	5056
143	848	5043
144	853	5034
145	857	5018
146	861	5000
147	866	4988
148	870	4972
149	874	4955
150	878	4939
151	884	4936
152	890	4930
153	896	4924
154	901	4913
155	905	4896
156	908	4880
157	913	4865
158	917	4854
159	921	4840
160	925	4824
161	929	4810
162	934	4800
163	938	4785
164	942	4769
165	946	4754
166	950	4743
167	954	4728
168	958	4714
169	962	4699
170	967	4689
171	971	4675
172	975	4661
173	978	4646
174	983	4635
175	987	4621
176	991	4608
177	995	4596
178	1000	4590
179	1006	4584
180	1010	4570
181	1014	4561
182	1018	4548
183	1022	4535
184	1026	4523
185	1031	4515
186	1035	4502
187	1039	4490
188	1043	4478
189	1048	4470
190	1055	4472
191	1062	4469
192	1066	4458
193	1071	4452
194	1075	4441
195	1082	4440
196	1086	4429
197	1090	4417
198	1095	4408
199	1100	4401
200	1104	4388
201	1107	4376
202	1113	4372
203	1118	4365
204	1124	4359
205	1130	4356
206	1134	4345
207	1138	4333
208	1143	4326
209	1147	4315
210	1151	4305
211	1155	4293
212	1161	4290
213	1166	4286
214	1172	4282
215	1179	4279
216	1186	4280
217	1193	4281
218	1199	4277
219	1213	4302
220	1234	4350
221	1264	4431
222	1277	4450
223	1284	4450
224	1292	4452
225	1298	4446
226	1325	4512
227	1332	4511
228	1346	4532
229	1353	4531
230	1360	4527
231	1366	4523
232	1372	4518
233	1381	4522
234	1392	4532
235	1398	4527
236	1440	4639
237	1447	4633
238	1456	4637
239	1461	4628
240	1467	4621
241	1472	4611
242	1476	4601
243	1481	4588
244	1485	4577
245	1490	4569
246	1495	4558
247	1499	4547
248	1503	4534
249	1509	4529
250	1528	4559
251	1535	4559
252	1541	4551
253	1545	4538
254	1549	4526
255	1554	4516
256	1558	4506
257	1563	4495
258	1566	4482
259	1571	4472
260	1576	4463
261	1580	4451
262	1584	4441
263	1590	4433
264	1594	4421
265	1598	4409
266	1601	4397
267	1607	4391
