iter	Passed	Remaining
424	2335	3160
425	2343	3157
426	2378	3192
427	2389	3192
428	2398	3191
429	2412	3198
430	2419	3194
431	2434	3201
432	2443	3199
433	2450	3195
434	2457	3192
435	2464	3187
436	2469	3182
437	2475	3176
438	2483	3173
439	2488	3167
440	2494	3162
441	2503	3160
442	2507	3153
443	2515	3149
444	2520	3142
445	2553	3171
446	2558	3165
447	2564	3160
448	2569	3153
449	2575	3148
450	2580	3141
451	2584	3133
452	2588	3125
453	2593	3119
454	2597	3111
455	2601	3103
456	2605	3095
457	2610	3088
458	2613	3080
459	2617	3072
460	2621	3065
461	2626	3058
462	2630	3050
463	2634	3042
464	2638	3035
465	2642	3028
466	2647	3021
467	2651	3014
468	2655	3006
469	2661	3000
470	2665	2993
471	2669	2986
472	2674	2980
473	2679	2973
474	2683	2965
475	2687	2958
476	2692	2952
477	2697	2945
478	2700	2937
479	2705	2930
480	2711	2925
481	2714	2917
482	2719	2910
483	2724	2904
484	2728	2897
485	2732	2889
486	2736	2882
487	2741	2876
488	2745	2868
489	2748	2861
490	2752	2853
491	2758	2847
492	2762	2840
493	2766	2833
494	2770	2826
495	2776	2821
496	2780	2813
497	2784	2806
498	2789	2800
499	2792	2792
500	2796	2785
501	2800	2778
502	2805	2772
503	2809	2765
504	2813	2758
505	2818	2751
506	2823	2745
507	2827	2738
508	2830	2730
509	2835	2723
510	2840	2717
511	2843	2710
512	2847	2703
513	2851	2696
514	2856	2690
515	2860	2683
516	2865	2676
517	2871	2672
518	2875	2665
519	2879	2658
520	2883	2651
521	2889	2646
522	2895	2640
523	2901	2635
524	2908	2631
525	2912	2624
526	2915	2617
527	2921	2611
528	2925	2604
529	2930	2598
530	2935	2592
531	2939	2586
532	2943	2579
533	2948	2573
534	2953	2567
535	2957	2559
536	2961	2553
537	2965	2546
538	2973	2542
539	2980	2538
540	2990	2536
541	2996	2531
542	3001	2526
543	3005	2519
544	3010	2512
545	3013	2506
546	3019	2500
547	3023	2493
548	3027	2486
549	3031	2479
550	3036	2474
551	3040	2467
552	3043	2460
553	3049	2454
554	3053	2447
555	3056	2441
556	3061	2434
557	3066	2428
558	3070	2421
559	3074	2415
560	3078	2409
561	3083	2403
562	3087	2396
563	3092	2390
564	3097	2384
565	3101	2378
566	3106	2372
567	3110	2365
568	3114	2359
569	3119	2352
570	3123	2346
571	3127	2339
572	3132	2334
573	3136	2327
574	3140	2321
575	3144	2314
576	3149	2309
577	3154	2303
578	3158	2296
579	3163	2290
580	3167	2284
581	3172	2278
582	3176	2271
583	3181	2266
584	3185	2259
585	3189	2253
586	3193	2247
587	3198	2241
588	3202	2234
589	3207	2228
590	3212	2223
591	3216	2216
592	3220	2210
593	3224	2203
594	3229	2198
595	3233	2191
596	3237	2185
597	3241	2179
598	3246	2173
599	3250	2167
600	3255	2161
601	3260	2155
602	3264	2149
603	3268	2143
604	3274	2137
605	3278	2131
606	3282	2125
607	3287	2119
608	3293	2114
609	3297	2108
610	3302	2102
611	3307	2096
612	3311	2090
613	3315	2084
614	3319	2077
615	3324	2072
616	3328	2066
617	3333	2060
618	3340	2055
619	3344	2049
620	3348	2043
621	3352	2037
622	3357	2031
623	3362	2026
624	3366	2019
625	3370	2013
626	3375	2008
627	3379	2002
628	3384	1996
629	3390	1991
630	3395	1985
631	3401	1980
632	3409	1976
633	3414	1971
634	3419	1965
635	3424	1960
636	3429	1954
637	3434	1948
638	3440	1943
639	3446	1938
640	3454	1934
641	3460	1929
642	3468	1925
643	3475	1921
644	3490	1921
645	3504	1920
646	3520	1920
647	3530	1917
648	3559	1925
649	3565	1919
650	3571	1914
651	3614	1929
652	3626	1927
653	3636	1923
654	3644	1919
655	3652	1915
656	3657	1909
657	3663	1904
658	3669	1898
659	3675	1893
660	3679	1887
661	3686	1882
662	3692	1876
663	3698	1871
664	3704	1866
665	3708	1859
666	3712	1853
667	3719	1848
668	3723	1842
669	3727	1836
670	3733	1830
671	3737	1824
672	3742	1818
673	3746	1811
674	3752	1806
675	3756	1800
676	3760	1794
677	3767	1789
678	3770	1782
679	3774	1776
680	3778	1770
681	3784	1764
682	3789	1758
683	3793	1752
684	3800	1747
685	3805	1741
686	3809	1735
687	3815	1730
688	3819	1723
689	3823	1717
690	3827	1711
691	3832	1706
692	3837	1699
693	3842	1694
694	3848	1688
695	3852	1682
696	3856	1676
697	3861	1670
698	3865	1664
699	3869	1658
700	3873	1652
701	3879	1646
702	3883	1640
703	3887	1634
704	3891	1628
705	3896	1622
706	3901	1616
707	3905	1610
708	3909	1604
709	3915	1599
710	3919	1593
711	3923	1587
712	3929	1581
713	3934	1576
714	3940	1570
715	3946	1565
716	3950	1559
717	3955	1553
718	3962	1548
719	3967	1542
720	3971	1537
721	3977	1531
722	3982	1525
723	3986	1519
724	3993	1514
725	3997	1508
726	4002	1502
727	4007	1497
728	4013	1491
729	4018	1486
730	4023	1480
731	4028	1474
732	4033	1469
733	4038	1463
734	4044	1458
735	4049	1452
736	4055	1447
737	4065	1443
738	4073	1438
739	4080	1433
740	4084	1427
741	4089	1422
742	4093	1415
743	4097	1410
744	4101	1403
745	4106	1398
746	4111	1392
747	4115	1386
748	4119	1380
749	4123	1374
750	4128	1368
751	4132	1362
752	4136	1356
753	4141	1351
754	4146	1345
755	4150	1339
756	4154	1333
757	4158	1327
758	4162	1321
759	4166	1315
760	4171	1310
761	4175	1304
762	4179	1298
763	4183	1292
764	4188	1286
765	4191	1280
766	4196	1274
767	4199	1268
768	4204	1263
769	4208	1257
770	4212	1251
771	4216	1245
772	4221	1239
773	4225	1233
774	4229	1227
775	4233	1222
776	4239	1216
777	4245	1211
778	4250	1205
779	4266	1203
780	4274	1198
781	4279	1193
782	4287	1188
783	4293	1182
784	4303	1178
785	4308	1173
786	4312	1167
787	4319	1161
788	4324	1156
789	4328	1150
790	4332	1144
791	4338	1139
792	4343	1133
793	4348	1128
794	4354	1122
795	4359	1117
796	4364	1111
797	4370	1106
798	4374	1100
799	4379	1094
800	4386	1089
801	4390	1083
802	4394	1078
803	4398	1072
804	4404	1066
805	4408	1061
806	4413	1055
807	4420	1050
808	4425	1044
809	4429	1039
810	4436	1034
811	4441	1028
812	4445	1022
813	4451	1017
814	4456	1011
815	4460	1005
816	4466	1000
817	4471	994
818	4475	989
819	4479	983
820	4485	977
821	4490	972
822	4494	966
823	4501	961
824	4508	956
825	4515	951
826	4521	945
827	4526	940
828	4532	935
829	4541	930
830	4562	927
831	4573	923
832	4581	918
833	4586	912
834	4591	907
835	4597	901
836	4604	896
837	4614	892
838	4625	887
839	4635	882
840	4646	878
841	4666	875
842	4704	876
843	4713	871
844	4720	865
845	4728	860
846	4733	855
847	4738	849
848	4743	843
849	4749	838
850	4754	832
851	4760	826
852	4765	821
853	4769	815
854	4773	809
855	4778	803
856	4782	798
857	4786	792
858	4791	786
859	4797	781
860	4801	775
861	4805	769
862	4810	763
863	4814	757
864	4819	752
865	4823	746
866	4827	740
867	4831	734
868	4835	728
869	4839	723
870	4844	717
871	4848	711
872	4852	705
873	4856	700
874	4861	694
875	4865	688
876	4869	682
877	4874	677
878	4879	671
879	4883	665
880	4886	660
881	4892	654
882	4896	648
883	4901	643
884	4905	637
885	4911	631
886	4915	626
887	4919	620
888	4925	615
889	4929	609
890	4933	603
891	4938	597
892	4944	592
893	4948	586
894	4952	581
895	4957	575
896	4961	569
897	4965	564
898	4969	558
899	4975	552
900	4979	547
901	4983	541
902	4988	535
903	4993	530
904	4997	524
905	5001	518
906	5007	513
907	5011	507
908	5015	502
909	5019	496
910	5035	491
911	5040	486
912	5044	480
913	5049	475
914	5054	469
915	5058	463
916	5063	458
917	5067	452
918	5072	447
919	5076	441
920	5083	436
921	5089	430
922	5093	424
923	5097	419
924	5101	413
925	5106	408
926	5111	402
927	5115	396
928	5120	391
929	5125	385
930	5131	380
931	5137	374
932	5145	369
933	5164	364
934	5172	359
935	5178	354
936	5182	348
937	5188	342
938	5193	337
939	5197	331
940	5202	326
941	5206	320
942	5210	314
943	5214	309
944	5219	303
945	5223	298
946	5227	292
947	5231	286
948	5236	281
949	5240	275
950	5243	270
951	5247	264
952	5252	259
953	5256	253
954	5260	247
955	5264	242
956	5269	236
957	5272	231
958	5277	225
959	5283	220
960	5289	214
961	5294	209
962	5300	203
963	5306	198
964	5311	192
965	5316	187
966	5322	181
967	5326	176
968	5332	170
969	5337	165
970	5341	159
971	5345	153
972	5349	148
973	5353	142
974	5357	137
975	5362	131
976	5367	126
977	5373	120
978	5377	115
979	5383	109
980	5389	104
981	5393	98
982	5399	93
983	5404	87
984	5409	82
985	5414	76
986	5419	71
987	5424	65
988	5428	60
989	5435	54
990	5439	49
991	5443	43
992	5448	38
993	5452	32
994	5456	27
995	5460	21
996	5466	16
997	5471	10
998	5475	5
999	5480	0
