iter	Passed	Remaining
0	13	13152
1	20	10471
2	28	9452
3	48	12130
4	57	11392
5	76	12705
6	85	12069
7	89	11148
8	99	10959
9	106	10567
10	114	10323
11	124	10225
12	131	9978
13	137	9663
14	145	9537
15	152	9391
16	159	9203
17	163	8945
18	168	8711
19	176	8634
20	182	8526
21	190	8452
22	195	8311
23	200	8161
24	205	8021
25	209	7848
26	214	7721
27	221	7673
28	226	7589
29	230	7453
30	234	7326
31	239	7256
32	243	7143
33	247	7032
34	251	6946
35	257	6894
36	262	6833
37	266	6744
38	271	6682
39	275	6608
40	279	6534
41	283	6463
42	288	6429
43	292	6359
44	296	6291
45	301	6250
46	306	6211
47	310	6154
48	314	6097
49	318	6055
50	322	5999
51	326	5946
52	329	5895
53	334	5859
54	338	5811
55	342	5765
56	345	5721
57	350	5693
58	354	5651
59	358	5613
60	362	5574
61	366	5547
62	370	5511
63	374	5474
64	378	5440
65	383	5421
66	387	5393
67	391	5360
68	394	5329
69	399	5309
70	403	5276
71	407	5246
72	411	5220
73	416	5217
74	422	5205
75	427	5203
76	432	5186
77	436	5164
78	440	5138
79	444	5112
80	449	5095
81	453	5079
82	457	5057
83	461	5034
84	466	5026
85	470	5003
86	476	4995
87	481	4991
88	487	4992
89	491	4969
90	496	4956
91	501	4949
92	505	4928
93	509	4907
94	513	4895
95	517	4875
96	521	4855
97	525	4835
98	530	4825
99	534	4806
100	538	4797
101	543	4788
102	549	4788
103	553	4769
104	557	4753
105	562	4745
106	566	4730
107	570	4715
108	575	4706
109	581	4708
110	585	4691
111	589	4673
112	594	4663
113	598	4654
114	602	4637
115	606	4621
116	610	4609
117	614	4594
118	618	4578
119	622	4563
120	626	4554
121	630	4539
122	634	4525
123	638	4510
124	643	4503
125	647	4489
126	651	4477
127	655	4462
128	660	4460
129	665	4452
130	668	4437
131	672	4424
132	677	4419
133	682	4408
134	686	4395
135	690	4387
136	695	4379
137	699	4366
138	703	4356
139	708	4350
140	712	4343
141	716	4330
142	721	4323
143	726	4321
144	730	4308
145	734	4297
146	738	4285
147	743	4277
148	747	4267
149	751	4258
150	755	4246
151	759	4238
152	763	4227
153	767	4216
154	771	4206
155	775	4197
156	779	4186
157	783	4175
158	787	4164
159	791	4155
160	795	4146
161	799	4136
162	803	4125
163	808	4119
164	811	4108
165	815	4098
166	819	4087
167	825	4086
168	830	4084
169	834	4074
170	839	4069
171	843	4058
172	846	4048
173	850	4038
174	855	4033
175	859	4026
176	863	4016
177	867	4007
178	872	4001
179	876	3991
180	880	3982
181	884	3973
182	888	3967
183	892	3958
184	896	3948
185	900	3939
186	904	3933
187	908	3924
188	912	3915
189	916	3908
190	921	3903
191	926	3898
192	931	3893
193	935	3888
194	939	3880
195	944	3875
196	951	3878
197	956	3872
198	960	3864
199	964	3857
200	968	3851
201	972	3842
202	976	3835
203	980	3827
204	985	3821
205	989	3813
206	993	3805
207	997	3797
208	1001	3791
209	1005	3784
210	1010	3777
211	1014	3769
212	1019	3765
213	1023	3759
214	1027	3751
215	1031	3743
216	1036	3740
217	1040	3732
218	1044	3725
219	1049	3720
220	1053	3712
221	1057	3705
222	1061	3697
223	1066	3693
224	1070	3686
225	1074	3678
226	1078	3671
227	1083	3667
228	1087	3659
229	1090	3652
230	1095	3646
231	1100	3641
232	1104	3635
233	1108	3627
234	1112	3620
235	1117	3617
236	1121	3610
237	1125	3603
238	1130	3600
239	1135	3594
240	1139	3587
241	1143	3580
242	1148	3577
243	1152	3570
244	1156	3564
245	1162	3563
246	1168	3561
247	1174	3561
248	1180	3559
249	1184	3554
250	1190	3551
251	1195	3549
252	1201	3546
253	1226	3601
254	1240	3623
255	1248	3629
256	1255	3629
257	1261	3629
258	1308	3743
259	1314	3741
260	1326	3755
261	1333	3756
262	1340	3755
263	1347	3757
264	1353	3754
265	1359	3750
266	1364	3747
267	1370	3743
268	1376	3740
269	1382	3736
270	1387	3732
271	1394	3731
272	1399	3726
273	1404	3721
274	1411	3720
275	1416	3715
276	1421	3710
277	1427	3708
278	1433	3704
279	1439	3700
280	1445	3698
281	1451	3694
282	1456	3690
283	1462	3688
284	1467	3682
285	1472	3676
286	1477	3670
287	1481	3663
288	1485	3655
289	1489	3647
290	1494	3642
291	1498	3634
292	1502	3626
293	1507	3620
294	1511	3611
295	1515	3603
296	1519	3596
297	1524	3590
298	1528	3583
299	1532	3575
300	1536	3567
301	1541	3561
302	1544	3553
303	1549	3546
304	1553	3540
305	1559	3535
306	1564	3531
307	1568	3522
308	1572	3516
309	1576	3509
310	1580	3501
311	1584	3494
312	1589	3488
313	1593	3480
314	1597	3473
315	1601	3466
316	1606	3460
317	1609	3452
318	1614	3445
319	1617	3438
320	1622	3432
321	1626	3424
322	1630	3417
323	1634	3410
324	1639	3404
325	1643	3397
326	1647	3390
327	1651	3382
328	1656	3378
329	1660	3371
330	1664	3363
331	1668	3356
332	1672	3350
333	1676	3343
334	1680	3336
335	1684	3329
336	1689	3323
337	1693	3316
338	1697	3309
339	1701	3303
340	1706	3297
341	1709	3289
342	1714	3283
343	1718	3277
344	1723	3271
345	1726	3263
346	1731	3257
347	1736	3254
348	1740	3246
349	1744	3239
350	1748	3233
351	1754	3229
352	1758	3222
353	1762	3215
354	1766	3208
355	1770	3202
356	1774	3195
357	1778	3189
358	1782	3182
359	1786	3176
360	1790	3169
361	1794	3163
362	1799	3156
363	1803	3151
364	1807	3144
365	1811	3138
366	1815	3131
367	1820	3126
368	1824	3119
369	1828	3113
370	1832	3106
371	1837	3101
372	1841	3095
373	1845	3089
374	1850	3084
375	1854	3077
376	1858	3071
377	1862	3064
378	1867	3059
379	1871	3053
380	1876	3047
381	1880	3041
382	1884	3036
383	1888	3030
384	1893	3023
385	1897	3017
386	1901	3012
387	1905	3005
388	1910	3000
389	1915	2996
390	1919	2990
391	1924	2984
392	1929	2979
393	1934	2975
394	1938	2969
395	1943	2964
396	1948	2959
397	1952	2953
398	1956	2947
399	1965	2948
400	1970	2943
401	1974	2937
402	1978	2931
403	1983	2926
404	1987	2920
405	1991	2913
406	1996	2908
407	2000	2902
408	2004	2896
409	2008	2890
410	2013	2886
411	2017	2879
412	2021	2873
413	2025	2867
414	2030	2861
415	2034	2855
416	2038	2849
417	2042	2843
418	2046	2838
419	2051	2832
420	2054	2826
421	2059	2820
422	2063	2815
423	2068	2809
424	2071	2803
425	2075	2797
426	2081	2793
427	2085	2787
428	2089	2780
429	2094	2775
430	2098	2770
431	2102	2763
432	2106	2757
433	2110	2752
434	2114	2746
435	2118	2740
436	2122	2734
437	2126	2728
438	2130	2722
439	2134	2716
440	2138	2710
441	2143	2705
442	2147	2699
443	2151	2693
444	2154	2687
445	2159	2682
446	2163	2677
447	2167	2671
448	2172	2666
449	2178	2662
450	2182	2656
451	2186	2650
452	2192	2647
453	2196	2641
454	2200	2635
455	2204	2630
456	2209	2625
457	2213	2619
458	2217	2613
459	2221	2607
460	2225	2601
461	2229	2595
462	2233	2590
463	2237	2584
464	2241	2579
465	2245	2572
466	2249	2567
467	2253	2561
468	2257	2556
469	2261	2550
470	2265	2544
471	2269	2539
472	2274	2534
473	2278	2528
474	2282	2522
475	2286	2516
476	2291	2512
477	2296	2507
478	2300	2501
479	2303	2495
480	2308	2490
481	2312	2484
482	2316	2479
483	2319	2473
484	2324	2468
485	2328	2462
486	2332	2457
487	2336	2451
488	2341	2446
489	2345	2440
490	2349	2435
491	2353	2429
492	2359	2426
493	2363	2421
494	2368	2416
495	2372	2411
496	2376	2405
497	2380	2399
498	2384	2394
499	2389	2389
500	2394	2384
501	2398	2378
502	2402	2373
503	2406	2368
504	2410	2362
505	2414	2357
506	2418	2352
507	2422	2346
508	2426	2341
509	2430	2335
510	2435	2330
511	2439	2324
512	2443	2319
513	2447	2314
514	2451	2309
515	2455	2303
516	2460	2298
517	2464	2292
518	2468	2287
519	2472	2282
520	2476	2277
521	2480	2271
522	2485	2266
523	2489	2261
524	2494	2257
525	2498	2251
526	2504	2247
527	2508	2242
528	2513	2237
529	2518	2233
530	2522	2228
531	2526	2222
532	2531	2218
533	2536	2213
534	2541	2209
535	2546	2204
536	2550	2199
537	2555	2194
538	2559	2189
539	2563	2183
540	2568	2179
541	2572	2173
542	2577	2169
543	2583	2165
544	2587	2160
545	2591	2154
546	2596	2150
547	2602	2146
548	2607	2142
549	2612	2137
550	2618	2133
551	2624	2129
552	2628	2125
553	2633	2120
554	2637	2114
555	2642	2109
556	2647	2105
557	2652	2101
558	2657	2096
559	2661	2091
560	2667	2087
561	2672	2082
562	2677	2078
563	2682	2073
564	2687	2068
565	2691	2063
566	2696	2059
567	2700	2053
568	2704	2048
569	2708	2042
570	2712	2037
571	2717	2033
572	2721	2027
573	2725	2022
574	2730	2017
575	2733	2012
576	2738	2007
577	2742	2002
578	2746	1996
579	2750	1991
580	2755	1986
581	2760	1982
582	2765	1977
583	2769	1972
584	2773	1967
585	2778	1963
586	2782	1957
587	2787	1953
588	2793	1948
589	2798	1944
590	2804	1940
591	2809	1936
592	2815	1932
593	2820	1928
594	2826	1923
595	2831	1919
596	2836	1914
597	2841	1910
598	2846	1905
599	2851	1901
600	2856	1896
601	2861	1892
602	2866	1887
603	2870	1882
604	2876	1878
605	2881	1873
606	2886	1868
607	2891	1864
608	2897	1860
609	2902	1855
610	2907	1850
611	2913	1847
612	2919	1843
613	2924	1838
614	2928	1833
615	2932	1827
616	2936	1822
617	2940	1817
618	2944	1812
619	2948	1807
620	2952	1802
