iter	Logloss
0	0.6914443425
1	0.6900967915
2	0.6884076174
3	0.6871738558
4	0.685765818
5	0.6846648406
6	0.6825976014
7	0.6802192632
8	0.6787747665
9	0.6767608969
10	0.6752680542
11	0.6738060803
12	0.6718937356
13	0.6703673726
14	0.6689028047
15	0.6671963502
16	0.6648097358
17	0.663246079
18	0.6614983841
19	0.6599340918
20	0.6582448263
21	0.6564514781
22	0.6547091991
23	0.6538172939
24	0.652558315
25	0.6514248078
26	0.6504774426
27	0.6494112718
28	0.6482194447
29	0.6465866711
30	0.6455257031
31	0.6440646149
32	0.6433098647
33	0.6419209487
34	0.6408815856
35	0.6401109898
36	0.6390999422
37	0.63794433
38	0.6366531789
39	0.6356713306
40	0.6341906738
41	0.6324500471
42	0.6304442568
43	0.6284037786
44	0.6272209311
45	0.6264800309
46	0.6253609684
47	0.6237818357
48	0.6225317465
49	0.6210017788
50	0.6198076063
51	0.6179397691
52	0.6167980298
53	0.6155203774
54	0.6141721869
55	0.6124529092
56	0.6113684512
57	0.6104116327
58	0.6091513807
59	0.6077916338
60	0.6068256101
61	0.6057511696
62	0.6045887543
63	0.6033683802
64	0.6021682723
65	0.6013454111
66	0.6000984003
67	0.5987126209
68	0.59756181
69	0.5963710101
70	0.5949209961
71	0.593885683
72	0.5932819555
73	0.591992779
74	0.5906746543
75	0.5893624527
76	0.5878269385
77	0.5865387083
78	0.585496232
79	0.5843342639
80	0.5833698876
81	0.582742794
82	0.5817904021
83	0.5812242998
84	0.5799494355
85	0.5789116164
86	0.5774682119
87	0.5767004144
88	0.5759221744
89	0.5750742358
90	0.5739977798
91	0.5729941789
92	0.5720635235
93	0.5705458423
94	0.5693000598
95	0.5683203334
96	0.567252295
97	0.5661436392
98	0.5652231403
99	0.5643796891
100	0.5633589067
101	0.5624925469
102	0.56173697
103	0.5606971464
104	0.5594530928
105	0.558313026
106	0.5571930242
107	0.5563711352
108	0.5553377422
109	0.5543713022
110	0.553596818
111	0.5524679842
112	0.5511788208
113	0.5501564326
114	0.5495780847
115	0.5483643212
116	0.5476947166
117	0.5468743766
118	0.5460761953
119	0.5450756796
120	0.5439819339
121	0.5424304178
122	0.5414293734
123	0.5407348553
124	0.5399281192
125	0.5389858027
126	0.5376281159
127	0.5365111476
128	0.5349394838
129	0.5341318726
130	0.5325992124
131	0.5320809842
132	0.530974971
133	0.5303909114
134	0.5296042924
135	0.5289307947
136	0.528223601
137	0.5274968163
138	0.5264045548
139	0.5250646257
140	0.5244050721
141	0.5237983874
142	0.5227061209
143	0.5223302313
144	0.5211357754
145	0.5203173863
146	0.5192227198
147	0.5183120975
148	0.5177137897
149	0.5172473736
150	0.5164421769
151	0.5149584165
152	0.5143132408
153	0.5135788738
154	0.512970147
155	0.5123183923
156	0.5109694115
157	0.5100471729
158	0.5089848777
159	0.5082512477
160	0.5074189344
161	0.5067530629
162	0.5060581105
163	0.5050382363
164	0.5040961039
165	0.5032810339
166	0.5023523894
167	0.5018569583
168	0.5005036814
169	0.4997794747
170	0.4991205208
171	0.4983140297
172	0.4974021679
173	0.496530677
174	0.4960091205
175	0.4955996008
176	0.4949714777
177	0.4941480789
178	0.4935542454
179	0.4928290276
180	0.4921654178
181	0.4913410498
182	0.4902608607
183	0.4895507051
184	0.4889354588
185	0.4882206586
186	0.4876017912
187	0.4869482555
188	0.4861988738
189	0.4854438225
190	0.4844777195
191	0.4839944269
192	0.4828281216
193	0.4819488496
194	0.4809014928
195	0.4801992063
196	0.4797164177
197	0.4791250013
198	0.478101988
