iter	MultiClass
0	0.6731327507
1	0.6557774343
2	0.6382470819
3	0.6255413531
4	0.6121834526
5	0.6005714588
6	0.5901197536
7	0.5800886096
8	0.5713387831
9	0.5629601301
10	0.5558553584
11	0.5484123335
12	0.5409896741
13	0.5365726524
14	0.5285687868
15	0.5238354856
16	0.5200301802
17	0.5144510505
18	0.5099526277
19	0.5059944849
20	0.5026850139
21	0.4992667716
22	0.4954093347
23	0.4905124417
24	0.4875701313
25	0.4847222237
26	0.4816868708
27	0.4784583194
28	0.4762335101
29	0.4730426117
30	0.4704997413
31	0.4686050521
32	0.4658681816
33	0.4625497723
34	0.4590464189
35	0.4567198063
36	0.4537091707
37	0.4518190829
38	0.4477336767
39	0.4441145541
40	0.4405385368
41	0.4382184641
42	0.4364579216
43	0.4327842375
44	0.4303247067
45	0.4267471536
46	0.4249694969
47	0.4230679957
48	0.4210358194
49	0.4185842587
50	0.4157166988
51	0.4127726936
52	0.4096781833
53	0.407194043
54	0.4056633734
55	0.404036841
56	0.402532654
57	0.4004347258
58	0.3977595595
59	0.393931654
60	0.3916721921
61	0.3898743193
62	0.3876896134
63	0.3847917549
64	0.3822493134
65	0.3806277732
66	0.3777767778
67	0.3753041807
68	0.3725449065
69	0.3698582399
70	0.3687015231
71	0.3646795749
72	0.3631056982
73	0.3598487905
74	0.3566364515
75	0.3532211438
76	0.3509537779
77	0.3484332672
78	0.3467395298
79	0.3438695637
80	0.3401839396
81	0.3389510187
82	0.3361701711
83	0.3341765309
84	0.3312295865
85	0.3297188045
86	0.3271797758
87	0.3245090493
88	0.3215958175
89	0.3201214665
90	0.3182764006
91	0.3170666391
92	0.3143380052
93	0.3112706055
94	0.3084715479
95	0.3060978903
96	0.3037220921
97	0.3018085474
98	0.2992701673
99	0.2969065838
100	0.2944974684
101	0.2931854574
102	0.2919257179
103	0.2898001615
104	0.2872679723
105	0.2855193901
106	0.2830300583
107	0.2796874672
108	0.2776641926
109	0.2745794948
110	0.2728152108
111	0.2713264775
112	0.2689515448
113	0.2679212284
114	0.2666900274
115	0.2651545464
116	0.2632637218
117	0.2597774364
118	0.2577203207
119	0.2551566838
120	0.2538210648
121	0.2516430306
122	0.2504673731
123	0.2487859708
124	0.2469919858
125	0.2455331125
126	0.2438178009
127	0.24266571
128	0.2415627893
129	0.2402448563
130	0.238940665
131	0.2370019109
132	0.2352076988
133	0.2333351471
134	0.232490213
135	0.2315689059
136	0.2307196531
137	0.2288791704
138	0.2275480346
139	0.2254888146
140	0.2249219796
141	0.2231972234
142	0.2218951526
143	0.2208143841
144	0.2192038475
145	0.2185673014
146	0.2178300768
147	0.2164027916
148	0.2148994766
149	0.2137190831
150	0.2126636764
151	0.2115947064
152	0.2097452839
153	0.2082893717
154	0.2070589949
155	0.2058281325
156	0.2035145722
157	0.2026729187
158	0.2019387365
159	0.2008571262
160	0.1994079461
161	0.1986701653
162	0.1978397123
163	0.1961870234
164	0.1947824521
165	0.1936543575
166	0.1927137246
167	0.1913157857
168	0.1897999625
169	0.1887575987
170	0.1876023862
171	0.1863639418
172	0.1855643041
173	0.1840597975
174	0.1826954587
175	0.1815300182
176	0.1802271649
177	0.1793563301
178	0.1779794106
179	0.1772291677
180	0.1761701528
181	0.1751559405
182	0.1738777973
183	0.1729302126
184	0.1726868975
185	0.1714763403
186	0.1703992686
187	0.1692850269
188	0.1678854925
189	0.1669300662
190	0.1658689768
191	0.1643296554
192	0.1637828954
193	0.1631124205
194	0.1622841123
195	0.1614099567
196	0.1605909539
197	0.1600928342
198	0.1592046895
199	0.1582494759
200	0.1569695874
201	0.156139511
202	0.1551509863
203	0.1539577943
204	0.1531915431
205	0.1525893302
206	0.1517630731
207	0.1510944091
208	0.1503630687
209	0.1496978561
210	0.1490298412
211	0.1483126747
212	0.147337731
213	0.1468641727
214	0.146370468
215	0.1459069285
216	0.1451919904
217	0.1443597877
218	0.1434461437
219	0.1426905223
220	0.1423903966
221	0.1417908089
222	0.1414215834
223	0.1403791037
224	0.139510502
225	0.1387937266
226	0.1379425583
227	0.1374777846
228	0.1372784663
229	0.1365358806
230	0.135872651
231	0.1350864043
232	0.1345842065
233	0.1338430914
234	0.1331417581
235	0.1327107054
236	0.1320886991
237	0.1309175028
238	0.1300218218
239	0.1293482813
240	0.1285585945
241	0.1281633849
242	0.1274417466
243	0.1270096883
244	0.1265176845
245	0.1258367511
246	0.1254700187
247	0.1247793472
248	0.1244515647
249	0.123871297
250	0.1232837336
251	0.1226700526
252	0.1221774289
253	0.1215920091
254	0.1208914897
255	0.1203046149
256	0.1195300682
257	0.119132101
258	0.1186737404
259	0.1182515686
260	0.1177292593
261	0.1173551684
262	0.1169981774
263	0.1163313216
264	0.1158996766
265	0.1156461476
266	0.1153141836
267	0.1150085116
268	0.1145304877
269	0.1141901886
270	0.1136637783
271	0.1129937978
272	0.1122824791
273	0.1115804124
274	0.1112851536
275	0.1105705792
276	0.1099079054
277	0.1095996017
278	0.1090317334
279	0.1084211452
280	0.1079278063
281	0.1073851957
282	0.1071408303
283	0.1065716516
284	0.106119264
285	0.1057739231
286	0.1050997063
287	0.104865964
288	0.1045249202
289	0.1038616424
290	0.1032617391
291	0.1028156074
292	0.1024270591
293	0.1021015043
294	0.1016675302
295	0.1011333513
296	0.1008052337
297	0.1004076241
298	0.1000689925
299	0.09973242641
300	0.09914538224
301	0.09863190093
302	0.09797861685
303	0.09757189033
304	0.09700384265
305	0.09645098023
306	0.09626461205
307	0.09601916872
308	0.09538863218
309	0.09500682458
310	0.09467154299
311	0.09430323381
312	0.09379123822
313	0.09342629794
314	0.09298310832
315	0.09257419598
316	0.09221765073
317	0.09176729988
318	0.09126695435
319	0.09099851454
320	0.09064582674
321	0.0903137957
322	0.0898004539
323	0.08928191819
324	0.08907192059
325	0.08858502033
326	0.088161548
327	0.08780272696
328	0.08724355758
329	0.08692632791
330	0.08662353801
331	0.08628777243
332	0.08584462459
333	0.08537612567
334	0.08483669759
335	0.08448254924
336	0.08408696486
337	0.0837065297
338	0.08337397435
339	0.08299057472
340	0.0826199151
341	0.08220944331
342	0.08193087873
343	0.08167625249
344	0.08143283155
345	0.08111861018
346	0.08073234405
347	0.08058837538
348	0.07996226505
349	0.07968125441
350	0.07935869595
351	0.07907599104
352	0.07871116475
353	0.07833938029
354	0.07815872121
355	0.07784080867
356	0.07762911103
357	0.0774285507
358	0.07723875246
359	0.07694381477
360	0.07663165366
361	0.07645604921
362	0.07621604929
363	0.07593783546
364	0.07571836034
365	0.07549013385
366	0.07517763541
367	0.07483252923
368	0.07452518306
369	0.07432378213
370	0.07410533524
371	0.07385761495
372	0.07357778553
373	0.07316769087
374	0.07293280671
375	0.07264469556
376	0.07236111318
377	0.07199984664
378	0.07179421376
379	0.07158096332
380	0.0713129082
381	0.07113528452
382	0.07099441353
383	0.07069732901
384	0.0704554212
385	0.07027182975
386	0.07008707098
387	0.06987030591
388	0.06970155163
389	0.06949503358
390	0.06919914484
391	0.06884503223
392	0.06861148841
393	0.0682809055
394	0.06809010533
395	0.06778952268
396	0.06758709525
397	0.06729661908
398	0.06697684119
399	0.06673763097
400	0.06649387582
401	0.0661606472
402	0.06592452657
403	0.06578297559
404	0.06562226281
405	0.06528142974
406	0.06515811781
407	0.06494486867
408	0.06476446553
409	0.06457226108
410	0.06431466127
411	0.06403625959
412	0.06388603278
413	0.06360012988
414	0.06341756042
415	0.06313752958
416	0.06295499606
417	0.06272425813
418	0.06249794507
419	0.06227593461
420	0.06204185242
421	0.06190343675
422	0.06169955381
423	0.06153854875
424	0.06139364246
425	0.06122397169
426	0.06094512492
427	0.0608179949
428	0.06072559167
429	0.06040545724
430	0.06020537502
431	0.06003442861
432	0.05980811599
433	0.05958645754
434	0.05945072173
435	0.05927940441
436	0.05914660677
437	0.0589910768
438	0.05878311629
439	0.0585447708
440	0.05837975774
441	0.05823093519
442	0.05805628339
443	0.05779103987
444	0.05763605873
445	0.05740728796
446	0.05734845821
447	0.05718963752
448	0.05709721713
449	0.05696333698
450	0.05682118922
451	0.05668508989
452	0.05651392067
453	0.05624554398
454	0.05609185607
455	0.055978634
456	0.05586095025
457	0.05580992143
458	0.05567060697
459	0.05551631234
460	0.05531708342
461	0.05503881663
462	0.05490749033
463	0.05465900948
464	0.05449397257
465	0.05428265814
466	0.05420908986
467	0.05400480898
468	0.05382879832
469	0.05366313367
470	0.05348369231
471	0.05329228133
472	0.05318624062
473	0.05299587867
474	0.05280268425
475	0.05269358959
476	0.05256338912
477	0.05244942679
478	0.05232028126
479	0.05223577802
480	0.05213147236
481	0.05204286458
482	0.05187934301
483	0.05176119225
484	0.05156511622
485	0.05143887726
486	0.05128730117
487	0.05112808997
488	0.0509306038
489	0.05082579327
490	0.05057932323
491	0.05036798165
492	0.05022590183
493	0.05007826528
494	0.04996920879
495	0.04982807143
496	0.04966380638
497	0.04945241448
498	0.04929338391
499	0.04915256805
500	0.0490142081
501	0.04883200086
502	0.04863952802
503	0.04853829226
504	0.048397286
505	0.04831993241
506	0.04820298238
507	0.04798888086
508	0.04782242101
509	0.04773954324
510	0.04768387495
511	0.04759117874
512	0.04744940259
513	0.04722047894
514	0.0470657783
515	0.046905652
516	0.04668461742
517	0.04657605665
518	0.04649410986
519	0.04634447347
520	0.04630757138
521	0.04619387783
522	0.04602689606
523	0.04587954827
524	0.0458071092
525	0.04570533134
526	0.04557170547
527	0.04535468695
528	0.04521186484
529	0.04514328904
530	0.04499491614
531	0.04492018018
532	0.04479129266
533	0.04464048686
534	0.04455974245
535	0.04447546922
536	0.04435667927
537	0.04423280011
538	0.04410108845
539	0.04401396024
540	0.04380951699
541	0.04371938364
542	0.04356131424
543	0.04341889474
544	0.04327568253
545	0.04316550919
546	0.04308211888
547	0.04297825453
548	0.04288706203
549	0.04274850056
550	0.04260603427
551	0.04251516803
552	0.04232884363
553	0.04226833342
554	0.04217568695
555	0.04206384062
556	0.04197123984
557	0.04187235477
558	0.04175442716
559	0.04165391512
560	0.04150743588
561	0.04143853949
562	0.04133251808
563	0.04120086892
564	0.04108030407
565	0.04096327439
566	0.04087075465
567	0.04079170397
568	0.04069228682
569	0.04052467512
570	0.04044844804
571	0.04035300294
572	0.04022989431
573	0.04009056496
574	0.03998539314
575	0.03991829548
576	0.03983901451
577	0.03979857435
578	0.03964783309
579	0.0395717179
580	0.03947013322
581	0.03936885389
582	0.03925750781
583	0.03917577802
584	0.039051567
585	0.03898482254
586	0.03888971476
587	0.03881815734
588	0.0387171106
589	0.03866623234
590	0.03859592405
591	0.03848387161
592	0.03838427667
593	0.03828217798
594	0.03821058392
595	0.03812356554
596	0.0379907041
597	0.03793371125
598	0.03786133755
599	0.03775342608
600	0.03764805278
601	0.03757675756
602	0.03748155569
603	0.03737912814
604	0.03728797021
605	0.03722198489
606	0.03707227022
607	0.0369579283
608	0.03691063829
609	0.03685166651
610	0.03680122069
611	0.03674787947
612	0.03668588546
613	0.03661036373
614	0.03652525103
615	0.03644489701
616	0.03636007435
617	0.03625594497
618	0.03619075248
619	0.03606718224
620	0.03600004158
621	0.03593961594
622	0.03588742271
623	0.03580122917
624	0.03571317049
625	0.0356225657
626	0.03552915825
627	0.03548091492
628	0.03536804385
629	0.03528538808
630	0.03517980333
631	0.03507479375
632	0.03498310237
633	0.03490956022
634	0.03480276104
635	0.03472472653
636	0.03466761219
637	0.03460365679
638	0.0344863857
639	0.03440047897
640	0.03430911099
641	0.03422928934
642	0.03419260331
643	0.03410668747
644	0.03407280802
645	0.03399238104
646	0.03387387272
647	0.03381124177
648	0.03372832587
649	0.03364806053
650	0.03353097691
651	0.03345802414
652	0.03336914174
653	0.0332979512
654	0.03326311612
655	0.03319292196
656	0.03309269542
657	0.03302827157
658	0.03295453329
659	0.03288222283
660	0.03281789098
661	0.03273209767
662	0.03266084185
663	0.03261749219
664	0.03253656428
665	0.03246174827
666	0.03239449792
667	0.03227847072
668	0.03219367708
669	0.03211825193
670	0.03207520388
671	0.03203100594
672	0.0319316207
673	0.03184618078
674	0.03173941689
675	0.03170412687
676	0.0315959775
677	0.03154134052
678	0.03147974804
679	0.03141729146
680	0.03133133394
681	0.03128367791
682	0.03118947411
683	0.03114303912
684	0.03104140512
685	0.0309902782
686	0.03092928388
687	0.03085441628
688	0.03076052956
689	0.03072046923
690	0.03066863579
691	0.03061686798
692	0.03056753022
693	0.0304931321
694	0.0304344745
695	0.03036906199
696	0.03033006047
697	0.03028102712
698	0.03018769503
699	0.03011459323
700	0.03002901011
701	0.02997298182
702	0.02988907964
703	0.02982442032
704	0.02974024424
705	0.02966446382
706	0.02958798877
707	0.02950543911
708	0.02943014438
709	0.02937272185
710	0.02928799568
711	0.02920724349
712	0.02915428105
713	0.02912443805
714	0.02907403039
715	0.02904179189
716	0.02897463292
717	0.02891940513
718	0.02884341734
719	0.02878771459
720	0.02873090421
721	0.02867754079
722	0.02861725907
723	0.02852070236
724	0.02845984041
725	0.02838550518
726	0.02832272771
727	0.02826720434
728	0.02820749558
729	0.02816488566
730	0.02814038657
731	0.02809024501
732	0.02799111828
733	0.02795228351
734	0.02789445836
735	0.02785437541
736	0.02780621206
737	0.02776535209
738	0.02772697236
739	0.02769016667
740	0.02760975665
741	0.0275012062
742	0.0274531702
743	0.02740685573
744	0.027354286
745	0.02731756955
746	0.02727593611
747	0.02721565721
748	0.02715996997
749	0.02713889676
750	0.02703050213
751	0.02698818519
752	0.02695045475
753	0.02691343803
754	0.02687029401
755	0.02683053267
756	0.02679570644
757	0.0267550036
758	0.02667818672
759	0.02664482759
760	0.02660686819
761	0.02656282089
762	0.02652758714
763	0.02649875702
764	0.0264298605
765	0.02641194612
766	0.02637991324
767	0.02630451842
768	0.02625221801
769	0.0261910681
770	0.02615813503
771	0.02612232794
772	0.02607670153
773	0.02601383784
774	0.02595028496
775	0.02589092889
776	0.02584111369
777	0.02575581277
778	0.02573327971
779	0.02565316486
780	0.0255858449
781	0.02553753477
782	0.02548058976
783	0.02542235606
784	0.02536668339
785	0.02530437224
786	0.02524701237
787	0.02520967052
788	0.02515204769
789	0.02512243339
790	0.02508120375
791	0.02500802551
792	0.0249678717
793	0.02494442969
794	0.02491279165
795	0.02486468295
796	0.02482984315
797	0.02478733949
798	0.02474592885
799	0.02471381463
800	0.02467763227
801	0.02463504298
802	0.02459286012
803	0.02454447767
804	0.02447623036
805	0.02444244788
806	0.02439681672
807	0.02436276298
808	0.02431488702
809	0.02426729493
810	0.02422798406
