iter	Passed	Remaining
0	6	6655
1	10	5356
2	14	4895
3	19	4831
4	24	4819
5	28	4741
6	33	4729
7	37	4698
8	42	4644
9	46	4582
10	50	4557
11	55	4586
12	60	4605
13	64	4536
14	69	4538
15	73	4527
16	79	4578
17	84	4636
18	90	4668
19	94	4651
20	98	4602
21	103	4598
22	107	4582
23	112	4578
24	116	4546
25	120	4527
26	125	4513
27	129	4493
28	133	4473
29	138	4464
30	142	4449
31	147	4476
32	153	4506
33	159	4521
34	164	4527
35	169	4540
36	173	4522
37	178	4527
38	184	4538
39	188	4526
40	193	4523
41	198	4529
42	203	4525
43	207	4517
44	211	4498
45	217	4514
46	221	4495
47	225	4475
48	230	4465
49	236	4484
50	240	4470
51	244	4453
52	249	4459
53	253	4444
54	257	4430
55	261	4413
56	267	4430
57	271	4413
58	275	4395
59	280	4394
60	284	4377
61	288	4360
62	292	4345
63	297	4355
64	303	4372
65	308	4366
66	315	4390
67	319	4383
68	323	4367
69	339	4512
70	352	4618
71	359	4638
72	365	4645
73	369	4628
74	373	4611
75	378	4604
76	382	4585
77	386	4571
78	390	4556
79	395	4546
80	399	4532
81	404	4524
82	410	4535
83	416	4542
84	420	4528
85	424	4512
86	429	4506
87	433	4491
88	437	4474
89	441	4462
90	446	4458
91	450	4445
92	454	4433
93	460	4433
94	465	4435
95	469	4425
96	473	4412
97	479	4409
98	483	4396
99	486	4382
100	490	4368
101	496	4369
102	500	4361
103	504	4347
104	509	4342
105	513	4330
106	517	4317
107	521	4304
108	526	4301
109	530	4289
110	533	4276
111	537	4265
112	542	4261
113	546	4248
114	550	4237
115	554	4227
116	559	4224
117	563	4214
118	567	4203
119	571	4194
120	576	4190
121	580	4179
122	584	4167
123	588	4156
124	593	4152
125	597	4142
126	601	4131
127	604	4121
128	609	4117
129	613	4106
130	617	4098
131	622	4090
132	626	4083
133	630	4072
134	634	4066
135	639	4059
136	642	4049
137	647	4042
138	650	4031
139	655	4028
140	659	4018
141	664	4012
142	667	4002
143	672	3999
144	677	3993
145	681	3986
146	685	3976
147	689	3971
148	693	3963
149	697	3953
150	701	3945
151	706	3939
152	710	3931
153	714	3922
154	718	3914
155	722	3910
156	726	3903
157	730	3894
158	734	3886
159	739	3880
160	743	3875
161	747	3866
162	751	3857
163	756	3855
164	760	3848
165	764	3840
166	768	3834
167	773	3832
168	778	3825
169	782	3821
170	787	3817
171	791	3810
172	795	3802
173	799	3794
174	804	3794
175	810	3793
176	814	3788
177	819	3782
178	823	3778
179	827	3771
180	831	3763
181	836	3758
182	840	3752
183	844	3746
184	848	3737
185	853	3733
186	857	3726
187	860	3717
188	864	3711
189	870	3709
190	875	3708
191	879	3701
192	884	3697
193	888	3689
194	892	3683
195	896	3676
196	900	3671
197	904	3663
198	908	3658
199	912	3650
200	917	3646
201	921	3639
202	925	3632
203	929	3625
204	933	3620
205	937	3612
206	941	3605
207	944	3598
208	949	3593
209	953	3585
210	958	3583
211	961	3575
212	966	3571
213	970	3564
214	974	3556
215	977	3549
216	982	3546
217	987	3540
218	990	3533
219	994	3526
220	999	3522
221	1003	3515
222	1007	3508
223	1010	3502
224	1015	3498
225	1019	3492
226	1023	3485
227	1027	3478
228	1032	3475
229	1036	3469
230	1040	3462
231	1044	3456
232	1048	3453
233	1052	3446
234	1056	3440
235	1060	3433
236	1065	3430
237	1069	3423
238	1073	3417
239	1077	3412
240	1082	3410
241	1086	3404
242	1090	3397
243	1095	3394
244	1099	3387
245	1103	3381
246	1107	3375
247	1111	3371
248	1115	3364
249	1119	3359
250	1124	3355
251	1129	3351
252	1132	3344
253	1136	3338
254	1140	3331
255	1146	3331
256	1150	3326
257	1154	3321
258	1158	3315
259	1164	3315
260	1168	3308
261	1172	3303
262	1177	3299
263	1182	3295
264	1186	3290
265	1190	3284
266	1195	3280
267	1198	3274
268	1203	3269
269	1206	3262
270	1211	3259
271	1215	3253
272	1220	3250
273	1225	3247
274	1229	3241
275	1233	3236
276	1237	3230
277	1242	3226
278	1246	3220
279	1250	3215
280	1254	3209
281	1259	3205
282	1262	3199
283	1267	3194
284	1271	3189
285	1275	3184
286	1279	3179
287	1284	3174
288	1287	3168
289	1292	3164
290	1297	3160
291	1301	3154
292	1305	3148
293	1309	3145
294	1313	3139
295	1317	3133
296	1321	3127
297	1327	3127
298	1331	3122
299	1335	3116
300	1340	3113
301	1359	3143
302	1364	3139
303	1368	3133
304	1372	3128
305	1376	3122
306	1380	3116
307	1384	3111
308	1389	3107
309	1393	3101
310	1397	3096
311	1401	3090
312	1406	3086
313	1410	3081
314	1414	3076
315	1418	3070
316	1424	3068
317	1428	3062
318	1432	3057
319	1436	3053
320	1441	3048
321	1445	3043
322	1449	3037
323	1453	3032
324	1457	3028
325	1461	3022
326	1465	3017
327	1470	3012
328	1474	3007
329	1478	3002
330	1483	2997
331	1487	2993
332	1491	2987
333	1495	2982
334	1499	2977
335	1504	2974
336	1509	2969
337	1513	2963
338	1516	2957
339	1521	2954
340	1526	2949
341	1530	2944
342	1535	2940
343	1538	2934
344	1542	2929
345	1546	2923
346	1551	2919
347	1555	2913
348	1559	2908
349	1562	2902
350	1567	2897
351	1571	2892
352	1575	2886
353	1579	2881
354	1583	2877
355	1587	2871
356	1591	2866
357	1595	2861
358	1600	2856
359	1603	2851
360	1607	2845
361	1611	2840
362	1616	2836
363	1621	2832
364	1624	2826
365	1629	2822
366	1633	2817
367	1637	2812
368	1641	2807
369	1645	2802
370	1650	2798
371	1654	2792
372	1658	2787
373	1662	2782
374	1667	2778
375	1670	2772
376	1675	2768
377	1679	2763
378	1683	2758
379	1687	2753
380	1692	2748
381	1696	2743
382	1702	2742
383	1706	2737
384	1710	2732
385	1715	2728
386	1719	2723
387	1723	2719
388	1727	2713
389	1732	2709
390	1738	2707
391	1743	2704
392	1747	2699
393	1752	2694
394	1756	2689
395	1760	2685
396	1765	2681
397	1769	2676
398	1773	2671
399	1777	2665
400	1782	2662
401	1786	2656
402	1789	2651
403	1793	2646
404	1798	2642
405	1802	2637
406	1806	2632
407	1811	2628
408	1816	2624
409	1819	2618
410	1824	2614
411	1828	2609
412	1832	2604
413	1836	2599
414	1840	2594
415	1845	2590
416	1849	2585
417	1853	2580
418	1857	2575
419	1862	2571
420	1866	2566
421	1870	2561
422	1874	2556
423	1879	2553
424	1883	2548
425	1887	2543
426	1891	2538
427	1896	2534
428	1900	2529
429	1904	2524
430	1909	2520
431	1913	2516
432	1917	2511
433	1922	2506
434	1927	2503
435	1931	2498
436	1935	2493
437	1939	2488
438	1944	2484
439	1948	2479
440	1952	2475
441	1956	2470
442	1962	2467
443	1966	2462
444	1970	2457
445	1975	2454
446	1979	2448
447	1983	2444
448	1987	2439
449	1992	2435
450	1996	2429
451	2001	2426
452	2005	2421
453	2011	2418
454	2015	2414
455	2019	2409
456	2025	2406
457	2029	2401
458	2033	2397
459	2037	2392
460	2042	2388
461	2046	2383
462	2051	2379
463	2055	2374
464	2060	2370
465	2064	2366
466	2068	2361
467	2073	2357
468	2078	2352
469	2082	2348
470	2086	2342
471	2090	2338
472	2094	2333
473	2098	2329
474	2102	2324
475	2107	2319
476	2111	2315
477	2115	2310
478	2119	2305
479	2125	2302
480	2129	2297
481	2133	2292
482	2138	2289
483	2143	2285
484	2147	2280
485	2151	2275
486	2156	2271
487	2160	2266
488	2164	2261
489	2168	2256
490	2173	2253
491	2177	2248
492	2181	2243
493	2185	2238
494	2190	2234
495	2193	2229
496	2197	2224
497	2201	2219
498	2206	2214
499	2209	2209
500	2214	2205
501	2218	2200
502	2222	2196
503	2226	2191
504	2230	2186
505	2235	2182
506	2240	2178
507	2244	2173
508	2248	2168
509	2252	2164
510	2256	2159
511	2260	2154
512	2264	2149
513	2269	2145
514	2273	2141
515	2277	2136
516	2281	2131
517	2286	2127
